trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
227,False,"{'a': 0.005, 'e': 0.42665980793015723}",25,0,-16.3576693532972,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
228,False,"{'a': 0.005, 'e': 0.42213243258867206}",25,15,3.227681009619652,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.005, 'e': 0.41759450395835795}",20,0,-24.641385807657684,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
230,False,"{'a': 0.005, 'e': 0.4130461354871949}",25,2,-3.2803568747514484,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
231,False,"{'a': 0.005, 'e': 0.40848744088415717}",20,0,-24.267868449115213,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
232,False,"{'a': 0.005, 'e': 0.40391853411637296}",25,0,5.254319414614549,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
233,False,"{'a': 0.005, 'e': 0.3993395294062732}",30,21,7.901129248216096,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.005, 'e': 0.39475054122873704}",25,17,5.140914344323079,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.005, 'e': 0.3901516843082303}",20,10,15.870012579283863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.005, 'e': 0.385543073615936}",20,10,-14.332546260667268,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
237,False,"{'a': 0.005, 'e': 0.38092482436688185}",35,12,-84.2486972352268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 3}",1
238,False,"{'a': 0.005, 'e': 0.37629705201705815}",35,10,-30.132428778794086,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",1
239,False,"{'a': 0.005, 'e': 0.371659872260533}",25,10,-9.405264900413579,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
240,False,"{'a': 0.005, 'e': 0.3670134010265584}",30,13,30.352502934402768,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.005, 'e': 0.3623577544766736}",25,2,-11.51123266255216,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
242,False,"{'a': 0.005, 'e': 0.3576930490017995}",25,0,-45.45932723575666,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
243,False,"{'a': 0.005, 'e': 0.3530194012193304}",25,6,-17.22979297516566,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
244,False,"{'a': 0.005, 'e': 0.348336927970217}",30,17,20.5842539968046,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.005, 'e': 0.34364574631604705}",25,17,-26.765906562151848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.005, 'e': 0.3389459735361172}",25,7,27.15906842056904,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.005, 'e': 0.3342377271245026}",20,8,5.419626077543873,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.005, 'e': 0.32952112478711787}",20,5,-1.7409069538725186,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.005, 'e': 0.32479628443877623}",20,12,-9.456776689706412,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
250,False,"{'a': 0.005, 'e': 0.32006332420023986}",25,11,-7.956509334283746,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.005, 'e': 0.3153223623952687}",35,20,20.92037063498018,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.005, 'e': 0.3105735175476604}",30,17,13.635808176304034,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.005, 'e': 0.30581690837828934}",25,12,16.43390765338816,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.005, 'e': 0.3010526538021365}",25,0,-72.82464327653159,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
255,False,"{'a': 0.005, 'e': 0.29628087292531874}",25,0,11.65899855489704,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
256,False,"{'a': 0.005, 'e': 0.2915016850421088}",20,0,20.23634594033316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
257,False,"{'a': 0.005, 'e': 0.2867152096319555}",20,0,12.534559422576915,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
258,False,"{'a': 0.005, 'e': 0.2819215663564944}",20,12,-7.98205720823109,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
259,False,"{'a': 0.005, 'e': 0.2771208750565576}",30,16,13.331999506056299,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.005, 'e': 0.272313255749178}",25,0,19.035160684296624,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.005, 'e': 0.26749882862458735}",25,6,17.891520494753173,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.005, 'e': 0.26267771404321355}",20,13,13.861766511190574,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.005, 'e': 0.2578500325326696}",20,6,-4.627827568343237,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
264,False,"{'a': 0.005, 'e': 0.25301590478474223}",20,13,12.600307329636209,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.005, 'e': 0.2481754516523729}",25,6,-42.35703427235317,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
266,False,"{'a': 0.005, 'e': 0.24332879414663827}",25,18,14.659140168271147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.005, 'e': 0.23847605343372313}",20,5,19.4196519803618,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.005, 'e': 0.233617350831893}",20,4,5.064821283992547,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.005, 'e': 0.22875280780845939}",25,7,8.707273006354914,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.005, 'e': 0.22388254597674498}",35,19,13.772333319679369,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.005, 'e': 0.2190066870930415}",25,7,16.463712372296282,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.005, 'e': 0.21412535305356747}",20,0,11.43752832400237,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
273,False,"{'a': 0.005, 'e': 0.20923866589141926}",30,15,-31.96223732276722,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
274,False,"{'a': 0.005, 'e': 0.20434674777352183}",25,12,13.778719407941088,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.005, 'e': 0.19944972099757285}",20,9,-104.42949629358642,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 2}",1
276,False,"{'a': 0.005, 'e': 0.19454770798898718}",20,10,3.8191031370852837,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.005, 'e': 0.18964083129783424}",25,0,31.170783078493216,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
278,False,"{'a': 0.005, 'e': 0.1847292135957762}",25,3,25.535319644482666,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.005, 'e': 0.17981297767299936}",20,6,13.564508044710976,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.005, 'e': 0.17489224643514614}",30,18,20.84479373608112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.005, 'e': 0.16996714290024081}",30,10,7.8949489348867194,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
282,False,"{'a': 0.005, 'e': 0.16503779019561562}",20,7,24.854571933728742,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.005, 'e': 0.16010431155483126}",25,12,24.402399710248833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.005, 'e': 0.15516683031459658}",25,11,5.700250808996302,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.005, 'e': 0.15022546991168584}",35,11,1.400612346324088,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.005, 'e': 0.14528035387985133}",20,10,19.495145489293353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.005, 'e': 0.14033160584673673}",25,19,11.576299747836496,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.005, 'e': 0.13537934953078465}",20,10,-5.516091361243712,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
289,False,"{'a': 0.005, 'e': 0.13042370873814554}",20,11,11.541129859304375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.005, 'e': 0.12546480735958065}",20,14,10.11929811735536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.005, 'e': 0.12050276936736662}",25,9,35.10130192322861,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.005, 'e': 0.11553771881219435}",20,5,24.676052981827194,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.005, 'e': 0.11056977982006959}",20,6,-5.529908838434793,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
294,False,"{'a': 0.005, 'e': 0.10559907658920793}",25,17,14.336868628360012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.005, 'e': 0.10062573338693173}",20,15,8.039708006284686,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.005, 'e': 0.09564987454656154}",30,12,15.447098795510895,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.005, 'e': 0.09067162446430968}",25,13,8.454036517741674,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.005, 'e': 0.08569110759616845}",20,11,12.178743543427606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.005, 'e': 0.08070844845480063}",20,13,11.711420971719665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.005, 'e': 0.07572377160642477}",30,15,17.755832184941653,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.005, 'e': 0.0707372016677029}",20,5,14.754989203321326,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.005, 'e': 0.06574886330262336}",25,11,21.75110167186258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.005, 'e': 0.0607588812193859}",20,13,13.576043380983949,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.005, 'e': 0.05576738016728224}",30,6,40.3106230395271,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.005, 'e': 0.05077448493357918}",25,9,16.298286038575426,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.005, 'e': 0.04578032034039706}",20,12,12.280921934691394,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,10,20.88493556914566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,16,15.355062153180079,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,11,17.084547947740614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,13,21.76721852018994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,2,28.85775964060096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,13.442932319668444,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,24.24040509096357,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,13,14.848261826346544,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,6,21.941989276123785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,12,13.259043793184034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,3,37.122482394932206,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,15,19.781188580253353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,20,6.4098640570847945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,17,27.85990490440045,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,12,14.4200964898703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",35,25,17.552630875426626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,14,18.75782123939814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,11,15.36702023058917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,3,34.11589011169582,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,11,26.785993958430435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,15,10.695153113958142,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",25,14,22.749007535644534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,6,24.16465566175309,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,13,21.806371476009254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,15,6.698138114074343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",20,6,23.290814887645794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,11,24.943471509164148,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,9,19.81572553411413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",20,16,8.549486434779213,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,15,19.846124011796267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
