trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.005, 'e': 0.9089657496748851}",30,5,-99.66870628364607,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",1
88,False,"{'a': 0.005, 'e': 0.9068700422993367}",30,0,-31.80741055770054,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.005, 'e': 0.9047516632199634}",20,9,-40.888099615382544,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.005, 'e': 0.9026106653961321}",20,0,-111.51546052627866,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
91,False,"{'a': 0.005, 'e': 0.9004471023526769}",20,0,-82.85158632500124,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
92,False,"{'a': 0.005, 'e': 0.8982610281785611}",25,0,-101.90797114709385,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.8960524975255252}",20,0,-164.90376043347447,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
94,False,"{'a': 0.005, 'e': 0.8938215656067205}",30,17,-59.12738771467679,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.005, 'e': 0.891568288195329}",30,0,-39.2014023527874,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
96,False,"{'a': 0.005, 'e': 0.8892927216231682}",25,0,-109.72714561594063,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
97,False,"{'a': 0.005, 'e': 0.8869949227792842}",20,6,-62.52356811629757,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.005, 'e': 0.8846749491085283}",25,0,-25.80943279510512,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.005, 'e': 0.8823328586101215}",25,0,-147.8482117134185,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
100,False,"{'a': 0.005, 'e': 0.8799687098362042}",20,0,-65.52136329578457,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.005, 'e': 0.8775825618903728}",20,0,-25.86369397464882,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.005, 'e': 0.8751744744262013}",25,0,-109.25192509486483,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.005, 'e': 0.8727445076457513}",30,0,-111.61454496625527,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
104,False,"{'a': 0.005, 'e': 0.8702927222980654}",20,0,-84.17459119218834,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
105,False,"{'a': 0.005, 'e': 0.8678191796776499}",20,0,-104.60383088447895,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.005, 'e': 0.8653239416229412}",20,12,5.9092792125820015,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.005, 'e': 0.862807070514761}",25,0,-127.33451889696842,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.005, 'e': 0.8602686292747557}",25,5,-129.36029664160944,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
109,False,"{'a': 0.005, 'e': 0.8577086813638242}",25,0,-103.9567748037151,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
110,False,"{'a': 0.005, 'e': 0.8551272907805307}",30,0,-150.01890238760134,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
111,False,"{'a': 0.005, 'e': 0.8525245220595057}",20,0,-130.18288258085514,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
112,False,"{'a': 0.005, 'e': 0.8499004402698315}",25,2,-46.83070227512476,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.005, 'e': 0.8472551110134161}",25,0,-181.36946193613772,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",1
114,False,"{'a': 0.005, 'e': 0.8445886004233532}",25,0,-51.42737020540989,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.005, 'e': 0.8419009751622687}",20,0,-71.25726931136413,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
116,False,"{'a': 0.005, 'e': 0.8391923024206541}",25,0,-105.10188300161929,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
117,False,"{'a': 0.005, 'e': 0.8364626499151869}",25,0,-151.75866687958842,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
118,False,"{'a': 0.005, 'e': 0.8337120858870376}",25,0,-84.81172132798736,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.005, 'e': 0.8309406791001636}",25,0,-129.2102508144088,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
120,False,"{'a': 0.005, 'e': 0.8281484988395901}",25,0,-137.9313732180377,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
121,False,"{'a': 0.005, 'e': 0.8253356149096783}",20,0,-66.20126145562759,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.005, 'e': 0.82250209763238}",25,0,-12.23704541824523,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.005, 'e': 0.8196480178454795}",25,10,-136.26705748930888,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
124,False,"{'a': 0.005, 'e': 0.8167734469008229}",20,0,-91.72168126464517,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
125,False,"{'a': 0.005, 'e': 0.8138784566625339}",30,0,-68.9081319407825,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
126,False,"{'a': 0.005, 'e': 0.8109631195052179}",20,0,-11.342057177942145,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.8080275083121519}",20,5,-30.349561530367858,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.005, 'e': 0.8050716964734628}",30,19,-14.8487223973641,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.005, 'e': 0.8020957578842927}",25,0,-120.65415465759898,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
130,False,"{'a': 0.005, 'e': 0.7990997669429512}",20,0,-28.436394934888792,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.005, 'e': 0.7960837985490558}",30,0,-41.62819240293093,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
132,False,"{'a': 0.005, 'e': 0.7930479281016595}",20,2,-69.96456966937916,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
133,False,"{'a': 0.005, 'e': 0.7899922314973651}",20,0,-90.7763656145116,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.005, 'e': 0.7869167851284287}",25,13,-9.014602606017279,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.005, 'e': 0.7838216658808492}",20,0,-13.563753441020307,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.005, 'e': 0.7807069511324468}",30,6,-123.86490322213065,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 2}",1
137,False,"{'a': 0.005, 'e': 0.7775727187509279}",25,0,-31.08166405379072,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.005, 'e': 0.7744190470919388}",30,0,-76.10621618128984,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
139,False,"{'a': 0.005, 'e': 0.7712460149971065}",20,11,-3.4977819081222394,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.005, 'e': 0.7680537017920684}",30,6,-108.46871093028665,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 1}",1
141,False,"{'a': 0.005, 'e': 0.7648421872844884}",20,0,-54.33367811790826,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.005, 'e': 0.7616115517620617}",20,0,-46.5141315516334,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
143,False,"{'a': 0.005, 'e': 0.7583618759905082}",25,11,-59.62043987663288,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
144,False,"{'a': 0.005, 'e': 0.7550932412115529}",20,5,-13.721290987951335,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.005, 'e': 0.7518057291408949}",20,0,-56.39773785777904,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
146,False,"{'a': 0.005, 'e': 0.7484994219661651}",20,0,-48.46851756314266,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.005, 'e': 0.7451744023448704}",30,6,-127.12702379538479,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 2}",1
148,False,"{'a': 0.005, 'e': 0.7418307534023282}",30,0,-84.97528342250081,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
149,False,"{'a': 0.005, 'e': 0.7384685587295879}",20,3,-33.08025589033122,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.005, 'e': 0.7350879023813413}",20,0,-92.23999950050862,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.005, 'e': 0.7316888688738209}",25,14,-2.948451567285196,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.7282715431826874}",30,0,-128.94688358552375,"{0: 15, 1: 2, 2: 12, 3: 1, 4: 0}",0
153,False,"{'a': 0.005, 'e': 0.7248360107409052}",30,0,-68.21290299855157,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
154,False,"{'a': 0.005, 'e': 0.7213823574366063}",25,6,-5.844934441513164,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.005, 'e': 0.7179106696109434}",25,11,-22.066514267002844,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.005, 'e': 0.7144210340559313}",25,15,-24.931259523098507,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.005, 'e': 0.7109135380122773}",30,0,-40.264979235261585,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
158,False,"{'a': 0.005, 'e': 0.7073882691671998}",20,0,-49.74220281709805,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
159,False,"{'a': 0.005, 'e': 0.7038453156522361}",35,0,-12.402570788744006,"{0: 30, 1: 0, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.005, 'e': 0.7002847660410396}",25,0,-55.99310639883131,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
161,False,"{'a': 0.005, 'e': 0.6967067093471654}",20,0,-82.95010534640411,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.005, 'e': 0.6931112350218442}",20,13,-11.38614212555742,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
